entry_day,entry_time,expiry_choice,strike_method,trigger,action,risk,week,net_pnl,gross_pnl,cost,capital_proxy,regime,fold,stage
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,no_stop,2026-W07,752.5897018245,848.25,95.66029817549996,10706.149999999992,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,no_stop,2026-W08,6434.3343661685,6561.75,127.41563383149968,20145.9375,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,no_stop,2026-W09,4035.993592528,4160.0,124.00640747199986,14005.875000000024,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,no_stop,2026-W10,2388.2576427575,2486.25,97.99235724250002,19161.35000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,no_stop,2026-W11,3864.90717598,3965.0,100.09282402000008,19696.95000000002,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,no_stop,2026-W12,2488.864534032,2587.0,98.13546596800006,16690.70000000002,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,no_stop,2026-W14,2260.491682767,2359.5,99.00831723300008,20347.60000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,no_stop,2026-W15,1264.6577957905,1361.75,97.0922042095001,15113.799999999985,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,stop_2x_credit,2026-W04,2414.2359172485,2512.25,98.01408275150015,19739.85000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,stop_2x_credit,2026-W05,-5554.86178639,-5453.5,101.3617863899999,13662.35000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,stop_2x_credit,2026-W06,1226.4185054415,1322.75,96.33149455850004,11809.85000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,stop_2x_credit,2026-W07,752.5897018245,848.25,95.66029817549996,10706.149999999992,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,stop_2x_credit,2026-W08,-4084.151384299,-3952.0,132.1513842989998,20145.9375,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,stop_2x_credit,2026-W09,-4420.732017371,-4322.5,98.23201737100044,11204.70000000002,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,stop_2x_credit,2026-W10,2388.2576427575,2486.25,97.99235724250002,19161.35000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,stop_2x_credit,2026-W11,3864.90717598,3965.0,100.09282402000008,19696.95000000002,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,stop_2x_credit,2026-W12,-5831.6316129375,-5729.75,101.8816129375,16690.70000000002,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,stop_2x_credit,2026-W14,2260.491682767,2359.5,99.00831723300008,20347.60000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,add_short,stop_2x_credit,2026-W15,1264.6577957905,1361.75,97.0922042095001,15113.799999999985,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,no_stop,2026-W04,2414.2359172485,2512.25,98.01408275150015,19739.85000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,no_stop,2026-W05,2310.3830287845,2408.25,97.86697121550014,13662.35000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,no_stop,2026-W06,1226.4185054415,1322.75,96.33149455850004,11809.85000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,no_stop,2026-W07,752.5897018245,848.25,95.66029817549996,10706.149999999992,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,no_stop,2026-W08,-3262.354083453501,-3116.750000000001,145.60408345350015,20145.9375,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,no_stop,2026-W09,-1463.567203427,-1319.5,144.0672034270001,14005.875000000024,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,no_stop,2026-W10,2388.2576427575,2486.25,97.99235724250002,19161.35000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,no_stop,2026-W11,3864.90717598,3965.0,100.09282402000008,19696.95000000002,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,no_stop,2026-W12,2488.864534032,2587.0,98.13546596800006,16690.70000000002,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,no_stop,2026-W14,2260.491682767,2359.5,99.00831723300008,20347.60000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,no_stop,2026-W15,1264.6577957905,1361.75,97.0922042095001,15113.799999999985,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,stop_2x_credit,2026-W04,2414.2359172485,2512.25,98.01408275150015,19739.85000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,stop_2x_credit,2026-W05,-5554.86178639,-5453.5,101.3617863899999,13662.35000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,stop_2x_credit,2026-W06,1226.4185054415,1322.75,96.33149455850004,11809.85000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,stop_2x_credit,2026-W07,752.5897018245,848.25,95.66029817549996,10706.149999999992,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,stop_2x_credit,2026-W08,-4106.316428543001,-3952.000000000001,154.31642854300026,20145.9375,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,stop_2x_credit,2026-W09,-4420.732017371,-4322.5,98.23201737100044,11204.70000000002,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,stop_2x_credit,2026-W10,2388.2576427575,2486.25,97.99235724250002,19161.35000000001,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,stop_2x_credit,2026-W11,3864.90717598,3965.0,100.09282402000008,19696.95000000002,base,1,oos
THU,09:20,nearest_weekly,sigma2,ninety_pct,protective_next_strike,stop_2x_credit,2026-W12,-5831.6316129375,-5729.75,101.8816129375,16690.70000000002,base,1,oos
