trade_date,expiry,spot_0930,atm,lot_size,entry_time,exit_time,gross_pnl_raw,slippage_cost,transaction_costs,total_costs,gross_pnl,net_pnl,legs,week
2021-07-01,2021-07-01,15717.95,15700,50,2021-07-01 09:30:00,2021-07-01 15:10:00,-317.5,140.0,141.812669645,281.812669645,-457.5,-599.312669645,"[{""side"":""CE"",""strike"":15900,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":2.2,""exit_price_raw"":0.1,""entry_price_exec"":2.6,""exit_price_exec"":0.0,""raw_pnl"":-210.0,""execution_pnl"":-260.0,""slippage_cost"":50.0,""transaction_costs"":47.31557884},{""side"":""PE"",""strike"":15500,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":1.4,""exit_price_raw"":0.1,""entry_price_exec"":1.7999999999999998,""exit_price_exec"":0.0,""raw_pnl"":-129.99999999999997,""execution_pnl"":-179.99999999999997,""slippage_cost"":50.0,""transaction_costs"":47.280016120000006},{""side"":""PE"",""strike"":15300,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":0.5,""exit_price_raw"":0.05,""entry_price_exec"":0.09999999999999998,""exit_price_exec"":0.45,""raw_pnl"":22.5,""execution_pnl"":-17.5,""slippage_cost"":40.0,""transaction_costs"":47.217074685}]",2021-06-28/2021-07-04
2021-07-02,2021-07-08,15674.85,15650,50,2021-07-02 09:30:00,2021-07-02 15:10:00,-1440.0000000000002,199.99999999999952,149.30983609999998,349.30983609999953,-1639.9999999999995,-1789.3098360999995,"[{""side"":""CE"",""strike"":15850,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":27.75,""exit_price_raw"":24.05,""entry_price_exec"":28.15,""exit_price_exec"":23.650000000000002,""raw_pnl"":-369.99999999999994,""execution_pnl"":-449.99999999999966,""slippage_cost"":79.99999999999972,""transaction_costs"":51.79673612},{""side"":""PE"",""strike"":15450,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":23.35,""exit_price_raw"":10.95,""entry_price_exec"":23.75,""exit_price_exec"":10.549999999999999,""raw_pnl"":-1240.0000000000002,""execution_pnl"":-1320.0,""slippage_cost"":79.99999999999977,""transaction_costs"":49.74810162},{""side"":""PE"",""strike"":15250,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":7.1,""exit_price_raw"":3.7,""entry_price_exec"":6.699999999999999,""exit_price_exec"":4.1000000000000005,""raw_pnl"":169.99999999999997,""execution_pnl"":129.99999999999994,""slippage_cost"":40.00000000000003,""transaction_costs"":47.76499836}]",2021-06-28/2021-07-04
2021-07-05,2021-07-08,15805.5,15800,50,2021-07-05 09:30:00,2021-07-05 15:10:00,-545.0,200.00000000000017,145.38904431,345.38904431000014,-745.0000000000001,-890.3890443100001,"[{""side"":""CE"",""strike"":16000,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":10.0,""exit_price_raw"":8.65,""entry_price_exec"":10.4,""exit_price_exec"":8.25,""raw_pnl"":-134.99999999999997,""execution_pnl"":-215.00000000000003,""slippage_cost"":80.00000000000006,""transaction_costs"":48.82930591},{""side"":""PE"",""strike"":15600,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":13.25,""exit_price_raw"":8.75,""entry_price_exec"":13.65,""exit_price_exec"":8.35,""raw_pnl"":-450.0,""execution_pnl"":-530.0000000000001,""slippage_cost"":80.00000000000011,""transaction_costs"":48.9879248},{""side"":""PE"",""strike"":15400,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":4.4,""exit_price_raw"":3.6,""entry_price_exec"":4.0,""exit_price_exec"":4.0,""raw_pnl"":40.000000000000014,""execution_pnl"":0.0,""slippage_cost"":40.000000000000014,""transaction_costs"":47.5718136}]",2021-07-05/2021-07-11
2021-07-06,2021-07-08,15849.7,15850,50,2021-07-06 09:30:00,2021-07-06 15:10:00,-247.49999999999983,200.0000000000001,144.489929895,344.4899298950001,-447.5,-591.9899298949999,"[{""side"":""CE"",""strike"":16050,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":5.0,""exit_price_raw"":3.6,""entry_price_exec"":5.4,""exit_price_exec"":3.2,""raw_pnl"":-140.0,""execution_pnl"":-220.00000000000003,""slippage_cost"":80.00000000000003,""transaction_costs"":47.89269924},{""side"":""PE"",""strike"":15650,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":10.95,""exit_price_raw"":9.8,""entry_price_exec"":11.35,""exit_price_exec"":9.4,""raw_pnl"":-114.99999999999986,""execution_pnl"":-194.99999999999994,""slippage_cost"":80.00000000000009,""transaction_costs"":49.034208050000004},{""side"":""PE"",""strike"":15450,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":4.15,""exit_price_raw"":4.0,""entry_price_exec"":3.7500000000000004,""exit_price_exec"":4.4,""raw_pnl"":7.500000000000018,""execution_pnl"":-32.49999999999999,""slippage_cost"":40.000000000000014,""transaction_costs"":47.56302260499999}]",2021-07-05/2021-07-11
2021-07-07,2021-07-08,15841.2,15850,50,2021-07-07 09:30:00,2021-07-07 15:10:00,-540.0,200.00000000000006,143.23495043000003,343.2349504300001,-740.0,-883.23495043,"[{""side"":""CE"",""strike"":16050,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":3.35,""exit_price_raw"":2.0,""entry_price_exec"":3.75,""exit_price_exec"":1.6,""raw_pnl"":-135.0,""execution_pnl"":-215.0,""slippage_cost"":80.0,""transaction_costs"":47.593025690000005},{""side"":""PE"",""strike"":15650,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":8.95,""exit_price_raw"":4.35,""entry_price_exec"":9.35,""exit_price_exec"":3.9499999999999997,""raw_pnl"":-459.99999999999994,""execution_pnl"":-540.0,""slippage_cost"":80.00000000000006,""transaction_costs"":48.17438022},{""side"":""PE"",""strike"":15450,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":3.35,""exit_price_raw"":2.25,""entry_price_exec"":2.95,""exit_price_exec"":2.65,""raw_pnl"":55.00000000000001,""execution_pnl"":15.000000000000014,""slippage_cost"":39.99999999999999,""transaction_costs"":47.467544520000004}]",2021-07-05/2021-07-11
2021-07-08,2021-07-08,15876.65,15900,50,2021-07-08 09:30:00,2021-07-08 15:10:00,-267.5,170.0,141.92461838499997,311.924618385,-437.5,-579.424618385,"[{""side"":""CE"",""strike"":16100,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":0.8,""exit_price_raw"":0.1,""entry_price_exec"":1.2000000000000002,""exit_price_exec"":0.0,""raw_pnl"":-70.0,""execution_pnl"":-120.00000000000001,""slippage_cost"":50.000000000000014,""transaction_costs"":47.25334408},{""side"":""PE"",""strike"":15700,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":3.2,""exit_price_raw"":0.7,""entry_price_exec"":3.6,""exit_price_exec"":0.29999999999999993,""raw_pnl"":-250.0,""execution_pnl"":-330.0,""slippage_cost"":80.0,""transaction_costs"":47.40246825999999},{""side"":""PE"",""strike"":15500,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":1.2,""exit_price_raw"":0.15,""entry_price_exec"":0.7999999999999999,""exit_price_exec"":0.55,""raw_pnl"":52.5,""execution_pnl"":12.499999999999995,""slippage_cost"":40.00000000000001,""transaction_costs"":47.268806045}]",2021-07-05/2021-07-11
2021-07-09,2021-07-15,15655.0,15650,50,2021-07-09 09:30:00,2021-07-09 15:10:00,-1672.5,199.99999999999937,153.554264225,353.5542642249994,-1872.499999999999,-2026.054264224999,"[{""side"":""CE"",""strike"":15850,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":33.8,""exit_price_raw"":34.8,""entry_price_exec"":34.199999999999996,""exit_price_exec"":34.4,""raw_pnl"":100.0,""execution_pnl"":20.000000000000284,""slippage_cost"":79.99999999999972,""transaction_costs"":53.58630323999999},{""side"":""PE"",""strike"":15450,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":40.15,""exit_price_raw"":18.15,""entry_price_exec"":40.55,""exit_price_exec"":17.75,""raw_pnl"":-2200.0,""execution_pnl"":-2279.9999999999995,""slippage_cost"":79.99999999999955,""transaction_costs"":51.513383219999994},{""side"":""PE"",""strike"":15250,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":15.75,""exit_price_raw"":7.2,""entry_price_exec"":15.35,""exit_price_exec"":7.6000000000000005,""raw_pnl"":427.50000000000006,""execution_pnl"":387.49999999999994,""slippage_cost"":40.000000000000114,""transaction_costs"":48.454577764999996}]",2021-07-05/2021-07-11
2021-07-12,2021-07-15,15772.15,15750,50,2021-07-12 09:30:00,2021-07-12 15:10:00,-150.0000000000003,199.9999999999998,147.26772352,347.2677235199998,-350.0000000000001,-497.2677235200001,"[{""side"":""CE"",""strike"":15950,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":17.05,""exit_price_raw"":7.75,""entry_price_exec"":17.45,""exit_price_exec"":7.35,""raw_pnl"":-930.0000000000001,""execution_pnl"":-1010.0,""slippage_cost"":79.99999999999989,""transaction_costs"":49.01539432},{""side"":""PE"",""strike"":15550,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":12.8,""exit_price_raw"":20.4,""entry_price_exec"":13.200000000000001,""exit_price_exec"":20.0,""raw_pnl"":759.9999999999998,""execution_pnl"":679.9999999999999,""slippage_cost"":79.99999999999989,""transaction_costs"":50.61585288},{""side"":""PE"",""strike"":15350,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":5.0,""exit_price_raw"":4.6,""entry_price_exec"":4.6,""exit_price_exec"":5.0,""raw_pnl"":20.000000000000018,""execution_pnl"":-20.000000000000018,""slippage_cost"":40.000000000000036,""transaction_costs"":47.63647632}]",2021-07-12/2021-07-18
2021-07-13,2021-07-15,15764.1,15750,50,2021-07-13 09:30:00,2021-07-13 15:10:00,-382.4999999999999,200.00000000000014,144.71261043500002,344.71261043500016,-582.5,-727.212610435,"[{""side"":""CE"",""strike"":15950,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":8.85,""exit_price_raw"":7.7,""entry_price_exec"":9.25,""exit_price_exec"":7.3,""raw_pnl"":-114.99999999999994,""execution_pnl"":-195.00000000000003,""slippage_cost"":80.00000000000009,""transaction_costs"":48.64380377},{""side"":""PE"",""strike"":15550,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":9.6,""exit_price_raw"":6.9,""entry_price_exec"":10.0,""exit_price_exec"":6.5,""raw_pnl"":-269.99999999999994,""execution_pnl"":-350.0,""slippage_cost"":80.00000000000006,""transaction_costs"":48.56398110000001},{""side"":""PE"",""strike"":15350,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":3.5,""exit_price_raw"":3.45,""entry_price_exec"":3.1,""exit_price_exec"":3.85,""raw_pnl"":2.499999999999991,""execution_pnl"":-37.5,""slippage_cost"":39.99999999999999,""transaction_costs"":47.504825565}]",2021-07-12/2021-07-18
2021-07-14,2021-07-15,15790.8,15800,50,2021-07-14 09:30:00,2021-07-14 15:10:00,-485.0000000000001,200.0,143.25233009,343.25233009,-685.0000000000001,-828.2523300900001,"[{""side"":""CE"",""strike"":16000,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":2.55,""exit_price_raw"":3.05,""entry_price_exec"":2.9499999999999997,""exit_price_exec"":2.65,""raw_pnl"":50.0,""execution_pnl"":-29.999999999999982,""slippage_cost"":79.99999999999999,""transaction_costs"":47.70598904},{""side"":""PE"",""strike"":15600,""action"":""BUY"",""qty_lots"":2,""quantity"":100,""entry_price_raw"":9.55,""exit_price_raw"":3.5,""entry_price_exec"":9.950000000000001,""exit_price_exec"":3.1,""raw_pnl"":-605.0000000000001,""execution_pnl"":-685.0000000000001,""slippage_cost"":80.0,""transaction_costs"":48.08081686999999},{""side"":""PE"",""strike"":15400,""action"":""SELL"",""qty_lots"":1,""quantity"":50,""entry_price_raw"":3.4,""exit_price_raw"":2.0,""entry_price_exec"":3.0,""exit_price_exec"":2.4,""raw_pnl"":70.0,""execution_pnl"":30.000000000000004,""slippage_cost"":40.0,""transaction_costs"":47.465524179999996}]",2021-07-12/2021-07-18
